Z_Accel
Unfiltered MAF FIR
-1.210240 -1.269349 -0.983137
-1.103917 -1.272094 -1.103978
-1.302838 -1.317844 -1.219634
-1.342000 -1.350784 -1.300642
-1.195905 -1.230980 -1.324188
-0.844545 -1.157841 -1.300825
-0.914695 -1.119960 -1.262944
-0.758108 -1.011014 -1.221159
-0.586515 -0.859917 -1.155462
-0.355874 -0.691923 -1.050481
-0.256688 -0.574376 -0.921832
-0.457622 -0.482937 -0.786168
-0.803736 -0.492087 -0.649162
-0.909693 -0.556686 -0.529724
-1.054446 -0.696437 -0.471835
-1.052677 -0.855586 -0.510631
-1.228174 -1.009733 -0.634034
-1.261480 -1.101294 -0.791475
-1.344562 -1.188219 -0.935252
-1.325347 -1.242448 -1.049078
-1.173640 -1.266604 -1.140212
-1.221342 -1.265262 -1.213229
-1.245315 -1.262029 -1.259528
-1.254648 -1.244034 -1.272399
-0.996130 -1.178215 -1.259894
-0.889197 -1.121302 -1.238727
-0.678015 -1.012661 -1.211033
-0.730536 -0.909693 -1.161196
-0.534421 -0.765611 -1.073234
-0.422364 -0.650870 -0.954284
-0.397232 -0.552477 -0.828319
-0.449143 -0.506727 -0.712358
-0.787937 -0.518195 -0.611525
-0.668438 -0.544974 -0.533445
-0.975939 -0.655689 -0.500017
-1.016504 -0.779580 -0.526735
-1.421117 -0.973987 -0.609390
-1.411296 -1.098610 -0.727608
-1.568615 -1.278682 -0.869006
-1.157841 -1.315038 -1.027057
-0.908168 -1.293383 -1.184681
-1.219329 -1.253001 -1.299910
-1.327360 -1.236226 -1.329678
-1.302838 -1.183095 -1.281549
-0.961848 -1.143872 -1.213778
-0.833565 -1.128988 -1.182546
-0.908656 -1.066829 -1.183034
-0.757193 -0.952820 -1.164490
-0.748592 -0.841922 -1.093791
-0.686372 -0.786839 -0.990701
-0.608109 -0.741760 -0.894931
-0.505629 -0.661179 -0.822341
-0.406504 -0.591029 -0.762744
-0.633241 -0.567971 -0.701317
-0.787998 -0.588284 -0.635925
-0.766892 -0.620004 -0.581879
-1.117154 -0.742309 -0.564799
-0.911828 -0.843386 -0.601399
-0.978074 -0.912377 -0.686494
-1.348344 -1.024434 -0.792146
-1.143140 -1.099708 -0.888526
-1.634068 -1.203042 -0.970815
-0.984845 -1.217682 -1.050725
-1.519388 -1.325957 -1.139358
-1.271545 -1.310585 -1.223477
-1.321382 -1.346209 -1.283074
-0.908473 -1.201090 -1.309426
-0.793183 -1.162782 -1.309975
-0.875228 -1.033950 -1.280451
-0.845033 -0.948611 -1.206153
-0.863638 -0.857111 -1.093242
-0.763171 -0.828014 -0.975573
-0.703391 -0.810080 -0.893955
-0.629032 -0.760853 -0.851682
-0.506300 -0.693082 -0.824293
-0.472933 -0.614941 -0.785070
-0.478850 -0.558089 -0.726632
-0.613111 -0.540033 -0.656238
-0.840519 -0.582306 -0.589443
-0.962458 -0.673562 -0.548573
-1.113128 -0.801601 -0.556320
-0.934032 -0.892613 -0.623054
-1.328885 -1.035780 -0.735355
-1.146556 -1.096963 -0.859612
-1.445822 -1.193648 -0.969717
-1.145397 -1.200114 -1.058960
-1.258918 -1.265079 -1.135942
-1.038708 -1.207068 -1.200114
-1.283501 -1.234457 -1.238666
-1.452471 -1.235799 -1.241655
-1.240618 -1.254831 -1.223416
-0.939644 -1.190964 -1.216340
-0.817583 -1.146739 -1.230797
-0.775798 -1.045174 -1.237873
-0.702781 -0.895236 -1.193404
-0.671244 -0.781410 -1.087935
-0.495381 -0.692533 -0.953918
-0.523441 -0.633729 -0.834907
-0.437980 -0.566141 -0.743651
-0.453779 -0.516365 -0.668194
-0.896273 -0.561322 -0.599935
-0.764452 -0.615185 -0.547170
-0.993202 -0.709125 -0.533872
-0.994788 -0.820450 -0.575962
-1.251598 -0.980026 -0.666425
-1.264042 -1.053592 -0.780190
-1.285514 -1.157780 -0.896273
-1.282708 -1.215730 -1.006439
-1.271362 -1.270996 -1.108187
-1.277584 -1.276242 -1.191879
-1.272704 -1.277950 -1.245376
-1.369267 -1.294725 -1.270081
-1.155523 -1.269288 -1.277523
-0.853085 -1.185596 -1.280085
-0.814228 -1.092937 -1.273680
-0.611586 -0.960689 -1.236958
-0.559065 -0.798673 -1.151497
-0.479216 -0.663436 -1.020591
-0.457378 -0.584258 -0.871080
