X_Accel Y_Accel Z_Accel
0.071614 0.165920 -0.907070
0.045628 0.168848 -0.953796
0.041053 0.168482 -0.960994
0.038247 0.171044 -0.916769
0.023363 0.149145 -0.903410
0.008662 0.164151 -0.929335
-0.006771 0.183610 -0.941413
-0.019337 0.189466 -0.964654
-0.030500 0.156099 -0.990945
-0.022204 0.156953 -0.967765
-0.036295 0.169702 -0.947086
-0.066124 0.178608 -0.958188
-0.065575 0.178486 -0.925065
-0.056913 0.134139 -0.986614
-0.077714 0.126575 -0.969290
-0.092415 0.106994 -0.952210
-0.110532 0.129320 -0.947208
-0.101260 0.173362 -0.896578
-0.119011 0.150609 -0.944646
-0.123708 0.122061 -0.950746
-0.129625 0.081496 -0.902861
-0.166469 0.046970 -0.913841
-0.183061 0.053802 -0.923662
-0.184708 0.091134 -0.911462
-0.185989 0.097051 -0.943731
-0.221491 0.119133 -0.964105
-0.221125 0.127002 -0.945744
-0.253760 0.090158 -0.954528
-0.270474 0.086864 -0.963251
-0.270718 0.114680 -0.954772
-0.264740 0.102541 -0.970632
-0.300852 0.091988 -0.995093
-0.296277 0.120170 -0.978623
-0.295545 0.106140 -0.935557
-0.299693 0.084302 -0.912255
-0.314455 0.090646 -0.867420
-0.336903 0.104249 -0.850157
-0.329156 0.104371 -0.853085
-0.333975 0.085522 -0.871446
-0.334402 0.087230 -0.879376
-0.350445 0.069784 -0.888953
-0.385276 0.044835 -0.882060
-0.432246 0.022814 -0.864980
-0.438712 0.020862 -0.891637
-0.478911 0.057767 -0.915549
-0.479216 0.057584 -0.893528
-0.457561 0.031171 -0.882060
-0.512949 0.012627 -0.881145
-0.513071 0.005978 -0.849181
-0.502640 -0.004270 -0.817217
-0.480009 -0.015189 -0.798368
-0.460428 -0.011346 -0.793793
-0.476288 -0.005734 -0.798734
-0.487512 0.000549 -0.807457
-0.543876 -0.020435 -0.821365
-0.551440 -0.029524 -0.827892
-0.561810 -0.013298 -0.804041
-0.558577 0.011834 -0.758413
-0.584197 0.015677 -0.776896
-0.588528 -0.007259 -0.764696
-0.599996 0.011773 -0.778543
-0.621041 0.002074 -0.742309
-0.615795 -0.028182 -0.756705
-0.615185 -0.036112 -0.745481
-0.612257 -0.056608 -0.747738
-0.607072 -0.059109 -0.764696
-0.630008 -0.055327 -0.727608
-0.660447 -0.058865 -0.717116
-0.683932 -0.054473 -0.720654
-0.694607 -0.030927 -0.716567
-0.675880 -0.015433 -0.708088
-0.651236 -0.031659 -0.737246
-0.640866 -0.028487 -0.679357
-0.671427 -0.024583 -0.695705
-0.697718 -0.026352 -0.650626
-0.706014 -0.054473 -0.676612
-0.712419 -0.062891 -0.687775
-0.711321 -0.036173 -0.658678
-0.718580 -0.044530 -0.669841
-0.725107 -0.043554 -0.664534
-0.727425 -0.036356 -0.626897
-0.737246 -0.048129 -0.653737
-0.723338 -0.077043 -0.680089
-0.714676 -0.050508 -0.682407
-0.652822 -0.045384 -0.644404
-0.677893 -0.057828 -0.619699
-0.686067 -0.069357 -0.615124
-0.644282 -0.058621 -0.622017
-0.658190 -0.035563 -0.624884
-0.610244 -0.038308 -0.579622
-0.634217 -0.047885 -0.622261
-0.709430 -0.001525 -0.629825
-0.679540 0.008174 -0.590175
-0.639524 -0.004270 -0.584075
-0.963251 -0.017629 -1.378783
-0.658922 -0.033855 -0.693875
-0.643733 -0.100711 -0.823317
-0.612013 -0.049654 -0.790133
-0.629825 -0.029158 -0.744993
-0.616466 -0.012749 -0.730963
-0.588284 -0.022692 -0.785741
-0.553697 -0.060024 -0.839665
-0.556686 -0.058011 -0.932629
-0.470371 -0.026474 -0.786229
-0.535885 -0.030988 -0.827160
-0.523319 -0.056608 -0.865712
-0.444812 -0.033489 -0.805017
-0.444141 0.002989 -0.895114
-0.505995 0.083753 -0.939156
-0.477752 0.004575 -0.882548
-0.524051 -0.047031 -1.052372
-0.442738 -0.098149 -0.876448
-0.393877 -0.075457 -0.924028
-0.327204 -0.031659 -0.858941
-0.331901 -0.038064 -0.904081
-0.328973 -0.035441 -0.899933
-0.345565 -0.036844 -0.897310
-0.265533 -0.081984 -1.065853
-0.343796 -0.057157 -0.991250
-0.280905 -0.058377 -0.901824
-0.216672 -0.029158 -0.932080
-0.205509 -0.023119 -0.876631
-0.331230 0.001525 -0.777933
-0.198311 -0.045811 -0.911462
-0.179828 -0.055144 -0.931775
-0.134200 -0.060207 -1.007232
-0.129503 -0.085949 -0.963129
-0.201239 -0.033489 -1.122522
-0.076860 -0.014396 -0.951234
-0.066307 0.005185 -0.993385
-0.086864 -0.013359 -0.903593
-0.074481 -0.046177 -0.937448
-0.121817 -0.026291 -1.051823
-0.066063 -0.021228 -1.023275
-0.011590 -0.045140 -0.973560
-0.028975 0.015372 -0.989176
-0.023424 0.032635 -0.883524
-0.032391 0.022570 -0.893101
-0.022814 0.078202 -0.901580
-0.039711 -0.025559 -0.958371
-0.118401 0.167262 -1.003633
-0.021472 0.030988 -1.019798
0.001159 -0.041053 -0.978074
-0.308477 0.054839 -1.227015
-0.145729 0.072224 -1.131916
-0.171105 0.061427 -0.988871
-0.129808 0.038491 -0.976061
-0.052948 0.027389 -0.921405
-0.042090 0.026718 -0.989542
-0.018117 -0.002806 -0.966240
-0.025315 -0.003416 -0.978013
-0.090707 0.004636 -0.974170
-0.056913 0.000549 -0.976854
0.015921 0.003782 -0.975512
0.005063 -0.012749 -0.987956
0.014579 -0.016653 -0.975878
0.011224 -0.007991 -0.977647
0.016592 -0.007808 -0.980514
0.005246 -0.001098 -0.971913
0.010797 -0.008723 -0.964776
0.010187 -0.009943 -0.949465
0.015250 -0.003050 -0.969534
0.014579 -0.002867 -0.975634
0.014823 -0.003294 -0.964166
0.017080 -0.006771 -0.967338
0.006344 -0.006832 -0.976915
0.013786 -0.005612 -0.973621
0.015128 -0.008296 -0.975085
0.001830 -0.002379 -0.973926
0.015311 -0.007259 -0.979538
0.016287 -0.003294 -0.970510
0.010797 -0.006283 -0.978013
0.007869 -0.007808 -0.975024
0.007137 -0.003050 -0.974353
0.011895 -0.001647 -0.979660
0.010919 -0.003904 -0.977159
0.007442 -0.010187 -0.978562
0.013786 -0.008235 -0.974658
0.004026 -0.007198 -0.974719
0.014091 -0.007076 -0.971913
0.023180 -0.006039 -0.975146
0.013054 -0.010309 -0.973255
0.017507 -0.004148 -0.974109
0.011102 -0.003050 -0.970998
0.009638 -0.007564 -0.967582
0.008723 -0.001708 -0.973804
0.018727 -0.000854 -0.978257
0.013115 -0.008967 -0.967460
0.011468 -0.010919 -0.977891
0.009943 -0.007686 -0.970937
0.012322 -0.010187 -0.966606
0.011224 -0.009699 -0.968558
0.018666 -0.008174 -0.978501
0.017568 -0.001220 -0.968924
0.001647 -0.008784 -0.974902
0.016775 -0.007076 -0.980148
0.011651 -0.005429 -0.976488
0.016531 -0.007747 -0.952515
0.014884 -0.006466 -0.976915
0.008906 -0.005978 -0.969229
0.010553 -0.004514 -0.972462
0.012017 -0.006466 -0.974170
0.008113 -0.001525 -0.976122
0.012993 -0.004636 -0.978989
0.008723 -0.008479 -0.973926
0.016714 -0.009028 -0.976549
0.009150 -0.005185 -0.964532
0.013664 -0.006710 -0.974414
0.009211 -0.007015 -0.980270
0.008418 -0.011773 -0.980270
0.013603 -0.008540 -0.971608
0.016043 -0.012749 -0.970754
0.017751 -0.004819 -0.974292
0.009638 -0.000732 -0.966850
0.013847 -0.012627 -0.970022
0.014274 -0.012322 -0.970632
0.010675 -0.006283 -0.968375
0.017812 -0.006527 -0.975329
0.015555 -0.011590 -0.978867
0.008113 -0.004270 -0.972462
0.009638 -0.005307 -0.956175
0.008784 -0.010065 -0.962336
0.010553 -0.008784 -0.973194
0.011895 -0.005978 -0.972645
0.016226 -0.007747 -0.966545
0.007015 -0.004575 -0.975085
0.010919 -0.006832 -0.974414
0.012322 -0.005185 -0.971181
0.009638 -0.004514 -0.971425
0.017690 -0.009211 -0.981612
0.009638 -0.003965 -0.975329
0.015006 -0.005185 -0.976793
0.013115 -0.008845 -0.980514
0.016287 -0.005063 -0.980087
0.005063 -0.008479 -0.953125
0.010797 -0.006039 -0.975817
0.015006 -0.004148 -0.968375
0.013542 -0.008296 -0.974841
0.013359 -0.006039 -0.974597
0.009760 -0.004087 -0.974414
0.015982 -0.006222 -0.972218
0.012200 -0.002135 -0.969900
0.007991 -0.004758 -0.971181
0.009089 -0.003050 -0.967338
0.013420 -0.004758 -0.973926
0.010919 -0.014152 -0.976488
0.013420 -0.010736 -0.974109
0.015250 -0.002562 -0.971669
0.015006 -0.005795 -0.971730
0.014091 -0.007808 -0.977159
0.005734 -0.004636 -0.967460
